dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Wine quality (Low),2,13,52,3,20,False,True,0.8215116279069767,0.8022808586762074,0.8511627906976746,0.8277280858676209,0.019230769230769384,0.02343470483005372
Wine quality (Low),2,14,46,2,20,False,True,0.8711079943899019,0.8760869565217392,0.9159887798036463,0.9314866760168303,-0.004978962131837239,-0.015497896213183981
Wine quality (Low),2,15,31,2,15,False,False,0.8438172043010752,0.8201612903225807,0.8763440860215055,0.836021505376344,0.023655913978494536,0.04032258064516148
Wine quality (Low),3,0,34,3,16,False,False,0.8419117647058824,0.8318498452012384,0.8788699690402477,0.8407507739938079,0.010061919504643968,0.03811919504643979
Wine quality (Low),3,1,49,3,20,False,True,0.8494760066188637,0.7931053502482073,0.8703805846662991,0.8298952013237728,0.05637065637065641,0.04048538334252627
Wine quality (Low),3,2,37,3,18,False,False,0.8141299193930773,0.8109688636004425,0.80891417733523,0.829935198356251,0.003161055792634815,-0.02102102102102099
Wine quality (Low),3,3,70,3,20,False,True,0.8655877034358047,0.8106690777576854,0.8761482820976492,0.8440867992766726,0.05491862567811934,0.03206148282097654
Wine quality (Low),3,4,45,3,20,False,True,0.8349425287356321,0.7678160919540229,0.8414559386973183,0.8178544061302682,0.06712643678160923,0.02360153256705011
Wine quality (Low),3,5,34,3,16,False,False,0.810952012383901,0.7587074303405574,0.8436532507739939,0.8095975232198143,0.05224458204334359,0.03405572755417963
Wine quality (Low),3,6,26,3,12,False,False,0.7636752136752136,0.7333333333333332,0.7935897435897434,0.8008547008547009,0.030341880341880456,-0.007264957264957461
Wine quality (Low),3,7,50,3,20,False,True,0.7780000000000001,0.7146666666666666,0.8023589743589744,0.7133846153846154,0.06333333333333357,0.08897435897435901
Wine quality (Low),3,8,69,3,20,False,True,0.8653679653679653,0.7902503293807641,0.8910784867306607,0.8252023338979861,0.07511763598720123,0.06587615283267456
Wine quality (Low),3,9,77,3,20,False,True,0.8037983521854488,0.737620444072057,0.8374668342410277,0.7988130149420472,0.06617790811339186,0.038653819298980596
Wine quality (Low),3,10,28,3,13,False,False,0.7884615384615383,0.7376373626373628,0.7726648351648351,0.7726648351648352,0.05082417582417553,-1.1102230246251565e-16
Wine quality (Low),3,11,48,2,20,False,True,0.8854761904761905,0.8654761904761905,0.9224404761904762,0.9123809523809524,0.020000000000000018,0.010059523809523796
Wine quality (Low),3,12,31,2,15,False,False,0.7919354838709678,0.7876344086021505,0.7913978494623658,0.8322580645161292,0.004301075268817289,-0.04086021505376336
Wine quality (Low),3,13,26,3,12,False,False,0.7329059829059829,0.6653846153846155,0.7777777777777778,0.6965811965811965,0.06752136752136739,0.08119658119658124
Wine quality (Low),3,14,115,3,20,False,True,0.8568613326472858,0.8531772575250836,0.8720246977103163,0.8634731155132493,0.003684075122202257,0.008551582197066976
Wine quality (Low),3,15,25,3,12,False,False,0.778974358974359,0.7317948717948718,0.8092307692307692,0.8164102564102564,0.04717948717948717,-0.007179487179487243
Wine quality (Low),3,16,32,3,15,False,False,0.7296296296296296,0.7453703703703703,0.8048611111111111,0.7650462962962963,-0.015740740740740722,0.03981481481481486
Wine quality (Low),4,0,44,3,20,False,True,0.8569865319865321,0.7463804713804716,0.8611952861952862,0.7572390572390574,0.11060606060606049,0.1039562289562288
Wine quality (Low),4,1,40,3,19,False,False,0.8034688995215312,0.8102870813397128,0.8155502392344498,0.7849282296650717,-0.006818181818181612,0.030622009569378106
Wine quality (Low),4,2,52,4,20,False,True,0.773345259391771,0.738953488372093,0.7849731663685151,0.7927101967799642,0.03439177101967805,-0.007737030411449131
Wine quality (Low),4,3,55,4,20,False,True,0.8825974025974026,0.8357328385899813,0.8967717996289426,0.8629684601113174,0.04686456400742134,0.03380333951762515
Wine quality (Low),4,4,39,3,19,False,False,0.7695006747638328,0.78110661268556,0.8056680161943321,0.8372469635627531,-0.01160593792172726,-0.03157894736842093
Wine quality (Low),4,5,28,3,13,False,False,0.7881181318681317,0.7630494505494505,0.7623626373626374,0.7946428571428573,0.02506868131868123,-0.03228021978021989
Wine quality (Low),4,6,33,3,16,False,False,0.7912210338680926,0.7843137254901961,0.7932263814616757,0.7671568627450981,0.006907308377896548,0.02606951871657759
Wine quality (Low),4,7,33,3,16,False,False,0.7404188948306595,0.6853832442067737,0.7482174688057041,0.713680926916221,0.05503565062388582,0.034536541889483074
Wine quality (Low),4,8,26,4,12,False,False,0.8465811965811965,0.8393162393162392,0.9316239316239316,0.8854700854700853,0.007264957264957239,0.04615384615384632
Wine quality (Low),4,9,76,4,20,False,True,0.8740746096009254,0.8565789473684212,0.8975274725274729,0.8210815500289186,0.017495662232504205,0.07644592249855431
Wine quality (Low),4,10,49,2,20,False,True,0.8847214561500275,0.8735245449531163,0.916657473800331,0.9248207391064533,0.011196911196911241,-0.008163265306122325
Wine quality (Low),4,11,31,2,15,False,False,0.8352150537634407,0.7884408602150539,0.8682795698924731,0.8236559139784947,0.046774193548386855,0.04462365591397843
Wine quality (Low),4,12,69,2,20,False,True,0.8808959156785244,0.8746470920383963,0.9146997929606625,0.8948804818370036,0.006248823640128132,0.019819311123658867
Wine quality (Low),4,13,28,2,13,False,False,0.7661401098901098,0.5868818681318683,0.8307005494505495,0.6026785714285715,0.17925824175824157,0.228021978021978
Wine quality (Low),4,14,105,2,20,False,True,0.888200703100032,0.8718248641738574,0.8945030361137744,0.8843783956535635,0.016375838926174557,0.010124640460210887
Breast cancer (Low),0,0,29,2,14,False,False,0.8111658456486045,0.8164203612479474,0.8417077175697866,0.7957307060755338,-0.005254515599342868,0.04597701149425282
Breast cancer (Low),0,1,39,2,19,False,False,0.7110661268556004,0.6367071524966262,0.7454790823211875,0.6858299595141699,0.0743589743589742,0.05964912280701762
Breast cancer (Low),0,2,26,2,12,False,False,0.782051282051282,0.6773504273504274,0.8444444444444444,0.7692307692307693,0.10470085470085466,0.07521367521367517
Breast cancer (Low),0,3,40,2,19,False,False,0.7813397129186603,0.7723684210526316,0.8133971291866029,0.8141148325358852,0.008971291866028741,-0.0007177033492823393
Breast cancer (Low),0,4,44,3,20,False,True,0.7728956228956229,0.7959595959595959,0.7787037037037038,0.7945286195286196,-0.02306397306397301,-0.015824915824915853
Breast cancer (Low),0,5,27,3,13,False,False,0.754985754985755,0.6418396418396419,0.7802197802197802,0.6316646316646316,0.11314611314611311,0.14855514855514862
Breast cancer (Low),0,6,28,2,13,False,False,0.8358516483516484,0.7809065934065933,0.8550824175824175,0.7901785714285714,0.05494505494505508,0.06490384615384615
Breast cancer (Low),0,7,37,2,18,False,False,0.8071755966492807,0.6783625730994152,0.8473210052157422,0.7308360992571519,0.12881302354986557,0.11648490595859029
Breast cancer (Low),0,8,57,1,20,False,True,0.8067527308838134,0.7342601787487587,0.8274412446209864,0.7727904667328699,0.07249255213505468,0.054650777888116564
Breast cancer (Low),1,0,42,2,20,False,True,0.7007246376811594,0.6731884057971014,0.7059006211180124,0.7393374741200829,0.02753623188405807,-0.033436853002070444
Breast cancer (Low),1,1,25,3,12,False,False,0.8097435897435896,0.72,0.8282051282051281,0.7292307692307692,0.08974358974358965,0.09897435897435891
Breast cancer (Low),1,2,26,3,12,False,False,0.7128205128205126,0.8128205128205129,0.6880341880341879,0.8457264957264958,-0.10000000000000031,-0.1576923076923079
Breast cancer (Low),1,3,29,2,14,False,False,0.8013136288998358,0.7077175697865353,0.8174055829228244,0.7264367816091956,0.09359605911330049,0.09096880131362883
Breast cancer (Low),1,4,25,3,12,False,False,0.6902564102564103,0.7005128205128205,0.7384615384615385,0.7184615384615384,-0.01025641025641022,0.02000000000000013
