dataset,build,node_id,depth,is_leaf,n_points,k,trustworthiness,continuity,mrre_false,mrre_missing,stress,cadi
Breast cancer (Low),2,1,1,False,380,20,0.871044725547775,0.8946220164144265,0.8899426256253394,0.919122176489471,0.5461552706051699,0.026486179737652604
Breast cancer (Low),2,2,2,True,40,19,0.7307416267942584,0.7261961722488038,0.7976347748528001,0.8212465412116241,0.5486842861665556,
Breast cancer (Low),2,3,2,False,277,20,0.8813826788028793,0.901025182885304,0.8978981279471878,0.9221215409542922,0.5444404887219509,0.02928426847747943
Breast cancer (Low),2,4,3,True,28,13,0.8447802197802198,0.8715659340659341,0.8305471427750721,0.8512871130616418,0.4620628106113892,
Breast cancer (Low),2,5,3,False,227,20,0.8813128425866766,0.9041272937193844,0.8935388719497586,0.9224879735221091,0.5491937352114893,0.01618374221076606
Breast cancer (Low),2,6,4,True,30,14,0.7168067226890756,0.758543417366947,0.7677129008223017,0.8014525825991202,0.7621718759005474,
Breast cancer (Low),2,7,4,True,42,20,0.7955486542443063,0.7917184265010352,0.7949685459600654,0.840032840977331,0.4313059644548541,
Breast cancer (Low),2,8,4,True,98,20,0.8584278155706727,0.878745275888133,0.8577008300814631,0.8923238953257195,0.48936109730464805,
Breast cancer (Low),2,9,1,True,60,20,0.8009604519774011,0.830367231638418,0.819965384118287,0.8367799437193736,0.6646454946320901,
Breast cancer (Low),2,10,1,False,119,20,0.8516782984380191,0.885799743626264,0.8621479014945443,0.9008111134409953,0.6800227133542083,0.023713718886490546
Breast cancer (Low),2,11,2,True,27,13,0.7423687423687424,0.796092796092796,0.7726470257023408,0.7981582636035645,0.7448428963780053,
Breast cancer (Low),2,12,2,True,61,20,0.8359580757860791,0.8590163934426229,0.8385553725979336,0.8806850992185425,0.5479982840952262,
Breast cancer (Low),3,0,0,False,569,20,0.9124563284395075,0.933315056958648,0.9249082436244175,0.9483384764700051,0.5449338070146789,0.013862079268078472
Breast cancer (Low),3,1,1,False,383,20,0.8686687776605004,0.8950710145732645,0.8945799435014702,0.9201781435699068,0.548272178909996,0.02429133271271205
Breast cancer (Low),3,2,2,False,286,20,0.8811934640701765,0.9076327781807235,0.8963871604824293,0.9264874674997168,0.5495925615563508,0.03201748590271645
Breast cancer (Low),3,3,3,True,28,13,0.9203296703296704,0.8780906593406594,0.8734020027972406,0.8683644307217471,0.4444847143661025,
Breast cancer (Low),3,4,3,True,25,12,0.8282051282051284,0.7933333333333333,0.8014370323038874,0.8350618673095453,0.5517477919959632,
Breast cancer (Low),3,5,3,True,67,20,0.869903905131875,0.8863218155796361,0.87013197187415,0.8851818300369038,0.41338943272268164,
Breast cancer (Low),3,6,2,True,42,20,0.7158385093167702,0.7315734989648034,0.7899214488610286,0.8203175157111117,0.5175398462434773,
Breast cancer (Low),3,7,1,False,118,20,0.8526004842615014,0.8854188861985473,0.8592725041530938,0.8992048764536203,0.683232943279862,0.042037583281294796
Breast cancer (Low),3,8,2,True,30,14,0.7372549019607845,0.6997198879551821,0.8039236131507418,0.7850993143930994,0.5552333062090162,
Breast cancer (Low),3,9,2,True,25,12,0.6676923076923077,0.6405128205128205,0.7237831404739872,0.707792875299281,0.6247934787470144,
