arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-bimodal-tight,threshold,symmetric,0.05,f1_sd,0.8,80,-0.05609174244961665,1.0,7.849526548031477e-15,1.0,0.0,0.05737074820376474,0.0,0.0,0.0,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.1,jaccard_admitted,0.95,80,-0.12465930433030492,0.025,9.847700597928496e-15,-0.95,0.5442402591795618,0.6682764822932263,0.2712798530312308,0.28484384568279236,0.041666666666666664,False,2.954310179378549e-14
synth-bimodal-tight,threshold,symmetric,0.1,jaccard_admitted,0.9,80,-0.13782190554888502,0.1375,2.9814050388499897e-12,-0.725,0.5375125313283207,0.6682764822932263,0.09523809523809523,0.1,0.0125,False,5.9628100776999795e-12
synth-bimodal-tight,threshold,symmetric,0.1,jaccard_admitted,0.8,80,0.23671614037712946,0.7,6.830039115244829e-06,0.4,0.9,0.6682764822932263,0.0,0.0,0.0,False,6.830039115244829e-06
synth-bimodal-tight,threshold,symmetric,0.1,f1_sd,0.95,80,-0.016457244416594616,0.9375,7.308413915640558e-14,0.875,0.03616668169208369,0.05070071984017827,0.2712798530312308,0.28484384568279236,0.041666666666666664,False,7.308413915640558e-14
synth-bimodal-tight,threshold,symmetric,0.1,f1_sd,0.9,80,-0.022325522661898464,0.9625,1.1449828359123388e-14,0.925,0.029160428599062954,0.05070071984017827,0.09523809523809523,0.1,0.0125,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.1,f1_sd,0.8,80,-0.04428261872506369,1.0,7.849526548031477e-15,1.0,0.007331370418032098,0.05070071984017827,0.0,0.0,0.0,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.2,jaccard_admitted,0.95,80,-0.1922374443798767,0.0,7.849526548031477e-15,-1.0,0.4163898499314914,0.6095638322266518,0.2712798530312308,0.28484384568279236,0.041666666666666664,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.2,jaccard_admitted,0.9,80,-0.2088832962352488,0.025,9.482966249828276e-15,-0.95,0.4002547087415509,0.6095638322266518,0.09523809523809523,0.1,0.0125,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.2,jaccard_admitted,0.8,80,0.13891597631559133,0.6375,2.2360157458104904e-05,0.275,0.7315789473684211,0.6095638322266518,0.0,0.0,0.0,False,2.2360157458104904e-05
synth-bimodal-tight,threshold,symmetric,0.2,f1_sd,0.95,80,0.000952635239914422,0.4375,0.5173091896977361,-0.125,0.038404135099922784,0.037933558858414256,0.2712798530312308,0.28484384568279236,0.041666666666666664,False,0.5173091896977361
synth-bimodal-tight,threshold,symmetric,0.2,f1_sd,0.9,80,-0.0036868974742052738,0.6875,0.00010233299446946779,0.375,0.033594498932136,0.037933558858414256,0.09523809523809523,0.1,0.0125,False,0.00020466598893893558
synth-bimodal-tight,threshold,symmetric,0.2,f1_sd,0.8,80,-0.029413757159318675,1.0,7.849526548031477e-15,1.0,0.011051492691115893,0.037933558858414256,0.0,0.0,0.0,False,2.3548579644094432e-14
synth-skew-tight,db,severity,0.05,jaccard_admitted,0.95,80,0.05616302099505949,0.75,3.3387023061216484e-07,0.5,0.8042214499865481,0.7444189052902147,0.8813559322033899,0.9621468926553673,0.225,False,6.677404612243297e-07
synth-skew-tight,db,severity,0.05,jaccard_admitted,0.9,80,0.11737125915775903,0.9375,3.0232884225620655e-14,0.875,0.8578569305285709,0.7444189052902147,0.8571428571428571,0.9357142857142857,0.2125,False,9.069865267686197e-14
synth-skew-tight,db,severity,0.05,jaccard_admitted,0.8,80,0.03608405557050831,0.575,0.0038848341288504977,0.15,0.7693320154469668,0.7444189052902147,0.7949992996217958,0.8678742354204605,0.24166666666666667,False,0.0038848341288504977
synth-skew-tight,db,severity,0.05,f1_sd,0.95,80,-0.03214574831978527,0.9625,5.453447411901581e-14,0.925,0.02021392997750812,0.05455025171161009,0.8813559322033899,0.9621468926553673,0.225,False,5.453447411901581e-14
synth-skew-tight,db,severity,0.05,f1_sd,0.9,80,-0.040210742014599295,0.9875,8.152358880315248e-15,0.975,0.011909444549934478,0.05455025171161009,0.8571428571428571,0.9357142857142857,0.2125,False,2.4457076640945743e-14
synth-skew-tight,db,severity,0.05,f1_sd,0.8,80,-0.04108036473023882,0.9875,8.466682565197588e-15,0.975,0.012192611785574074,0.05455025171161009,0.7949992996217958,0.8678742354204605,0.24166666666666667,False,2.4457076640945743e-14
synth-skew-tight,db,severity,0.1,jaccard_admitted,0.95,80,-0.019873325522184737,0.425,0.008223469980889794,-0.15,0.6717025297812078,0.6892367836597825,0.8813559322033899,0.9621468926553673,0.225,False,0.008223469980889794
synth-skew-tight,db,severity,0.1,jaccard_admitted,0.9,80,0.11555298316977924,0.9625,2.41968475646666e-14,0.925,0.8059051635750556,0.6892367836597825,0.8571428571428571,0.9357142857142857,0.2125,False,7.25905426939998e-14
synth-skew-tight,db,severity,0.1,jaccard_admitted,0.8,80,0.07464717177851654,0.9,1.62273611215713e-13,0.8,0.7654312450410008,0.6892367836597825,0.7949992996217958,0.8678742354204605,0.24166666666666667,False,3.24547222431426e-13
synth-skew-tight,db,severity,0.1,f1_sd,0.95,80,-0.007090718453494772,0.7125,4.380489501111043e-05,0.425,0.03993936463589998,0.04602607822937951,0.8813559322033899,0.9621468926553673,0.225,False,4.380489501111043e-05
synth-skew-tight,db,severity,0.1,f1_sd,0.9,80,-0.024728212863225588,0.975,1.0619072426644933e-14,0.95,0.02137543904679006,0.04602607822937951,0.8571428571428571,0.9357142857142857,0.2125,False,2.3548579644094432e-14
synth-skew-tight,db,severity,0.1,f1_sd,0.8,80,-0.02741223465576661,1.0,7.849526548031477e-15,1.0,0.018908127875205183,0.04602607822937951,0.7949992996217958,0.8678742354204605,0.24166666666666667,False,2.3548579644094432e-14
synth-skew-tight,db,severity,0.2,jaccard_admitted,0.95,80,-0.11329893892036164,0.0,7.849526548031477e-15,-1.0,0.5063010822813592,0.6210834580270471,0.8813559322033899,0.9621468926553673,0.225,False,2.3548579644094432e-14
synth-skew-tight,db,severity,0.2,jaccard_admitted,0.9,80,-0.015766995020029595,0.4375,0.05444098335689134,-0.125,0.6058456854873109,0.6210834580270471,0.8571428571428571,0.9357142857142857,0.2125,False,0.05444098335689134
