track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),t-SNE,GMM,dbcv,Random,9,-0.40964249476614306,-0.37068721797714804
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,0,-1.0,-1.0
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,1,-0.017297413082795327,-0.017297413082795327
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,2,-0.22592631919941783,-0.017297413082795327
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,3,0.23408717801666593,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,4,-0.041316340398914166,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,5,-0.2456063296584067,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,6,0.18130089635757626,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,7,-0.21138340259890517,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,8,-1.0,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,9,-0.03310543357672563,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,0,-1.0,-1.0
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,1,-0.017297413082795327,-0.017297413082795327
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,2,-0.22592631919941783,-0.017297413082795327
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,3,0.23408717801666593,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,4,-0.041316340398914166,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,5,-0.2456063296584067,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,6,0.18130089635757626,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,7,-0.21138340259890517,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,8,-1.0,0.23408717801666593
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,9,-0.03310543357672563,0.23408717801666593
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,0,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,1,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,2,-1.0,-1.0
