rho,nesting,seed,region,local,global
16,non_nested,18,2,1.0,1.0
16,non_nested,19,0,1.0,1.0
16,non_nested,19,1,1.0,1.0
16,non_nested,19,2,0.9972916666666667,0.9972916666666667
32,nested,0,0,0.45166666666666666,0.454375
32,nested,0,1,0.40958333333333335,0.4010416666666667
32,nested,0,2,0.5235416666666667,0.525625
32,nested,1,0,0.98625,0.9875
32,nested,1,1,1.0,1.0
32,nested,1,2,0.9947916666666666,0.996875
32,nested,2,0,0.431875,0.41875
32,nested,2,1,0.475,0.46625
32,nested,2,2,0.39916666666666667,0.3927083333333333
32,nested,3,0,0.5904166666666667,0.5945833333333334
32,nested,3,1,0.5533333333333333,0.5427083333333333
32,nested,3,2,0.5616666666666666,0.5533333333333333
32,nested,4,0,0.68125,0.6677083333333333
32,nested,4,1,0.7652083333333334,0.759375
32,nested,4,2,0.770625,0.7683333333333333
32,nested,5,0,0.520625,0.5270833333333333
32,nested,5,1,0.5170833333333333,0.5222916666666667
32,nested,5,2,0.5575,0.5614583333333333
32,nested,6,0,0.59375,0.5870833333333333
32,nested,6,1,0.5314583333333334,0.5135416666666667
