rho,nesting,seed,rotation_diversity,d_noise,min_cluster_size,dr_method,condition,h,c,v,ari,nmi,within_g_ari,coarse_ari,noise_frac,n_clusters,frag_ratio
1,nested,19,1.0,10,15,UMAP,flat_oracle_B,0.6330754722703497,0.9954858065930382,0.7739563200067752,0.4198927290936125,0.7739563200067752,0.7091611471120277,0.2975370304421389,0.009722222222222222,6,0.5
1,nested,19,1.0,10,15,UMAP,oracle_conditional,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
1,non_nested,0,1.0,10,15,UMAP,hierarchical,0.9328162090382411,0.8855522886370173,0.908569995408099,0.9049071019126131,0.908569995408099,0.8743327642587078,0.8731718457998224,0.17777777777777778,15,1.25
1,non_nested,0,1.0,10,15,UMAP,flat_full,0.8140380362325802,1.0,0.8974872852425806,0.6213796735123749,0.8974872852425805,0.9039002814636108,0.5443021929268602,0.0,9,0.75
1,non_nested,0,1.0,10,15,UMAP,flat_oracle_B,0.6786174112944232,0.9957952978692797,0.8071654300291649,0.44668445101303844,0.807165430029165,0.7052257375440553,0.38695637194787963,0.03194444444444444,7,0.5833333333333334
1,non_nested,0,1.0,10,15,UMAP,oracle_conditional,0.8603339466065922,0.9999999999999998,0.9249242031796653,0.7745932332686594,0.9249242031796653,0.7110119993666983,1.0,0.001388888888888889,9,0.75
1,non_nested,1,1.0,10,15,UMAP,hierarchical,0.9949595946623522,0.9771795165120398,0.9859894062769268,0.979360865741308,0.9859894062769268,0.9775602790864281,0.9913130363321355,0.030555555555555555,13,1.0833333333333333
1,non_nested,1,1.0,10,15,UMAP,flat_full,0.9037818928885261,0.996864525603129,0.9480438856355061,0.8362533097704395,0.9480438856355061,0.9981506844015259,0.6342366226303547,0.0,10,0.8333333333333334
1,non_nested,1,1.0,10,15,UMAP,flat_oracle_B,0.8589177196031332,1.0,0.9241051505889207,0.7710884340487091,0.9241051505889207,1.0,0.4675642235937254,0.022222222222222223,9,0.75
1,non_nested,1,1.0,10,15,UMAP,oracle_conditional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,1.0
1,non_nested,2,1.0,10,15,UMAP,hierarchical,0.991819874774783,0.9567978543857498,0.9739941435619324,0.9603252901652023,0.9739941435619325,0.9534332782444639,0.9910949665328298,0.04583333333333333,14,1.1666666666666667
1,non_nested,2,1.0,10,15,UMAP,flat_full,0.953444648868864,0.9999999999999998,0.976167560643147,0.9140709343043012,0.976167560643147,0.9039002814636108,1.0,0.001388888888888889,11,0.9166666666666666
1,non_nested,2,1.0,10,15,UMAP,flat_oracle_B,0.29081727550133857,1.0,0.4505940244538306,0.11447997461108898,0.4505940244538306,0.23514755945463928,0.31135242099702204,0.009722222222222222,3,0.25
1,non_nested,2,1.0,10,15,UMAP,oracle_conditional,0.8055146700427681,0.9964856545582971,0.8908808752979334,0.703473859112174,0.8908808752979333,0.6221004888878582,1.0,0.03888888888888889,8,0.6666666666666666
1,non_nested,3,1.0,10,15,UMAP,hierarchical,0.9887957510942196,0.911985985370627,0.9488389435697091,0.9137194504933775,0.948838943569709,0.8702745607928103,0.9793019751779474,0.17777777777777778,16,1.3333333333333333
1,non_nested,3,1.0,10,15,UMAP,flat_full,0.90701901811629,1.0,0.9512427610839694,0.8400444938820912,0.9512427610839695,1.0,0.6391166136857955,0.0,10,0.8333333333333334
1,non_nested,3,1.0,10,15,UMAP,flat_oracle_B,0.3692291790722146,0.9999999999999998,0.5393241463381654,0.21191719724087307,0.5393241463381654,0.45884296156151777,0.15202464615065567,0.006944444444444444,3,0.25
1,non_nested,3,1.0,10,15,UMAP,oracle_conditional,0.8836984117279123,0.9968160794563133,0.9368550897426636,0.76364116641132,0.9368550897426635,0.77311388034996,1.0,0.025,10,0.8333333333333334
1,non_nested,4,1.0,10,15,UMAP,hierarchical,0.9924531848011481,0.9258593636712797,0.9580003789113859,0.932530628555018,0.9580003789113857,0.9218403221483449,0.9861118505042848,0.11666666666666667,16,1.3333333333333333
1,non_nested,4,1.0,10,15,UMAP,flat_full,0.9505290048845474,0.9970198997523286,0.9732195488445224,0.9110500730590517,0.9732195488445223,0.9981667964006684,0.7785515591614024,0.002777777777777778,11,0.9166666666666666
1,non_nested,4,1.0,10,15,UMAP,flat_oracle_B,0.7851203804805372,0.9964435475872976,0.8782487396425637,0.6478467904635619,0.8782487396425636,0.9963590600392731,0.2701849223082613,0.05555555555555555,8,0.6666666666666666
1,non_nested,4,1.0,10,15,UMAP,oracle_conditional,0.9535095090581451,1.0,0.9762015538054537,0.9142925259268089,0.9762015538054537,0.9039002814636108,1.0,0.0,11,0.9166666666666666
1,non_nested,5,1.0,10,15,UMAP,hierarchical,0.988921649628723,0.9374497764891802,0.9624980591391069,0.9413972070995766,0.9624980591391071,0.9308243279092671,0.9783466033166236,0.07361111111111111,15,1.25
1,non_nested,5,1.0,10,15,UMAP,flat_full,0.950657494933813,0.9970186705640953,0.9732863076017566,0.9114611797138777,0.9732863076017565,0.9981506844015259,0.7797517851753654,0.0,11,0.9166666666666666
1,non_nested,5,1.0,10,15,UMAP,flat_oracle_B,0.4975901931427778,0.9999999999999997,0.6645211693040758,0.3213289791367745,0.6645211693040758,0.567781853651895,0.30593877330256375,0.005555555555555556,4,0.3333333333333333
1,non_nested,5,1.0,10,15,UMAP,oracle_conditional,0.8599421478234917,1.0000000000000002,0.92469773732457,0.7735772832809189,0.9246977373245698,0.7096147890485275,1.0,0.004166666666666667,9,0.75
1,non_nested,6,1.0,10,15,UMAP,hierarchical,0.9944363797272406,0.9296090700824279,0.9609306041141844,0.9392372082350888,0.9609306041141845,0.9244196558163814,1.0,0.12361111111111112,16,1.3333333333333333
1,non_nested,6,1.0,10,15,UMAP,flat_full,0.9535095090581451,1.0,0.9762015538054537,0.9142925259268089,0.9762015538054537,0.9039002814636108,1.0,0.0,11,0.9166666666666666
1,non_nested,6,1.0,10,15,UMAP,flat_oracle_B,0.8035686194958366,0.9964702647463641,0.8896832640901392,0.6996405142091305,0.8896832640901391,0.6908293690284141,0.7692535799993836,0.04027777777777778,8,0.6666666666666666
1,non_nested,6,1.0,10,15,UMAP,oracle_conditional,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
1,non_nested,7,1.0,10,15,UMAP,hierarchical,1.0,0.9294668072739106,0.9634442051761732,0.9336204472859699,0.9634442051761731,0.9185275505998328,1.0,0.08611111111111111,16,1.3333333333333333
1,non_nested,7,1.0,10,15,UMAP,flat_full,0.9041670039919584,0.9968658569075266,0.9482563229290877,0.8374038042366102,0.9482563229290875,0.9962806484260072,0.5443021929268602,0.0,10,0.8333333333333334
1,non_nested,7,1.0,10,15,UMAP,flat_oracle_B,0.4957682754859936,0.9940504223005822,0.6615820627600717,0.30084750936341165,0.6615820627600717,0.4939272769183141,0.22508060336607807,0.058333333333333334,4,0.3333333333333333
1,non_nested,7,1.0,10,15,UMAP,oracle_conditional,0.7210466193021219,1.0,0.8379164297065975,0.6213427869272938,0.8379164297065975,0.4967646567886114,1.0,0.019444444444444445,6,0.5
1,non_nested,8,1.0,10,15,UMAP,hierarchical,0.9656126714232824,0.8455219769043059,0.9015859043054287,0.8246111550643613,0.9015859043054286,0.8050343136036897,0.8661364866559779,0.14027777777777778,19,1.5833333333333333
1,non_nested,8,1.0,10,15,UMAP,flat_full,0.90701901811629,1.0,0.9512427610839694,0.8400444938820912,0.9512427610839695,1.0,0.6391166136857955,0.0,10,0.8333333333333334
1,non_nested,8,1.0,10,15,UMAP,flat_oracle_B,0.7441190862797131,0.992184681539902,0.8504313269737748,0.6170838499654407,0.8504313269737748,0.9961225312829721,0.16056802948185642,0.034722222222222224,7,0.5833333333333334
1,non_nested,8,1.0,10,15,UMAP,oracle_conditional,0.9070190181162902,1.0000000000000002,0.9512427610839697,0.8400444938820912,0.9512427610839697,0.8078005629272216,1.0,0.0,10,0.8333333333333334
1,non_nested,9,1.0,10,15,UMAP,hierarchical,0.9555520892000559,0.8821912170996701,0.917407406881932,0.8624875644153922,0.9174074068819319,0.8319211394140895,0.8377091995394454,0.14722222222222223,16,1.3333333333333333
1,non_nested,9,1.0,10,15,UMAP,flat_full,0.9070190181162902,1.0000000000000002,0.9512427610839697,0.8400444938820912,0.9512427610839697,1.0,0.6391166136857955,0.0,10,0.8333333333333334
1,non_nested,9,1.0,10,15,UMAP,flat_oracle_B,0.43144571979942953,0.9999999999999992,0.6028111493600784,0.22197313634906468,0.6028111493600783,0.4534297297365364,0.22880651912680147,0.013888888888888888,4,0.3333333333333333
1,non_nested,9,1.0,10,15,UMAP,oracle_conditional,0.8605285271744351,1.0000000000000002,0.9250366383592202,0.7751016578041914,0.9250366383592202,0.7117008443908324,1.0,0.0,9,0.75
1,non_nested,10,1.0,10,15,UMAP,hierarchical,0.9241947200798415,0.895262827185211,0.9094987450650214,0.8553646083292494,0.9094987450650215,0.8062055069189628,1.0,0.18194444444444444,14,1.1666666666666667
1,non_nested,10,1.0,10,15,UMAP,flat_full,0.7210570543488701,1.0,0.8379234756068777,0.5433470943156558,0.8379234756068777,0.47446722959388826,1.0,0.0,7,0.5833333333333334
1,non_nested,10,1.0,10,15,UMAP,flat_oracle_B,0.25615214493032035,0.9999999999999997,0.4078361780682694,0.1337963291049536,0.40783617806826944,0.0,0.5707462686567164,0.0,2,0.16666666666666666
1,non_nested,10,1.0,10,15,UMAP,oracle_conditional,0.7161942433644021,0.9908951131022931,0.8314425640268186,0.5587576249937335,0.8314425640268186,0.43326642764042184,1.0,0.2,7,0.5833333333333334
1,non_nested,11,1.0,10,15,UMAP,hierarchical,0.9938408188530446,0.9434157448269963,0.967972021812773,0.9508126243789566,0.9679720218127729,0.9387511728917235,0.9907932439417325,0.075,15,1.25
1,non_nested,11,1.0,10,15,UMAP,flat_full,0.950657494933813,0.9970186705640953,0.9732863076017566,0.9114611797138777,0.9732863076017565,0.9981506844015259,0.7793494690467441,0.0,11,0.9166666666666666
1,non_nested,11,1.0,10,15,UMAP,flat_oracle_B,0.578079787643827,0.9947494604325885,0.7312231223433402,0.39689007506294777,0.7312231223433401,0.709871953387066,0.2864068403280336,0.09722222222222222,5,0.4166666666666667
1,non_nested,11,1.0,10,15,UMAP,oracle_conditional,0.8572914019466712,0.9966950523267849,0.9217522563371553,0.7716166707571153,0.9217522563371553,0.7071714281966602,1.0,0.0,9,0.75
1,non_nested,12,1.0,10,15,UMAP,hierarchical,0.9999999999999998,0.9127524001801305,0.9543863597757591,0.9172517080680168,0.9543863597757593,0.8895793165047582,1.0,0.10555555555555556,17,1.4166666666666667
1,non_nested,12,1.0,10,15,UMAP,flat_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12,1.0
